VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-01-01 00:30:10,2021-01-01 00:36:12,1,2.10,1,N,142,43,2,8,3,0.5,0,0,0.3,11.8,2.5
1,2021-01-01 00:51:20,2021-01-01 00:52:19,1,.20,1,N,238,151,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2021-01-01 00:43:30,2021-01-01 01:11:06,1,14.70,1,N,132,165,1,42,0.5,0.5,8.65,0,0.3,51.95,0
1,2021-01-01 00:15:48,2021-01-01 00:31:01,0,10.60,1,N,138,132,1,29,0.5,0.5,6.05,0,0.3,36.35,0
2,2021-01-01 00:31:49,2021-01-01 00:48:21,1,4.94,1,N,68,33,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5
1,2021-01-01 00:16:29,2021-01-01 00:24:30,1,1.60,1,N,224,68,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,2021-01-01 00:00:28,2021-01-01 00:17:28,1,4.10,1,N,95,157,2,16,0.5,0.5,0,0,0.3,17.3,0
1,2021-01-01 00:12:29,2021-01-01 00:30:34,1,5.70,1,N,90,40,2,18,3,0.5,0,0,0.3,21.8,2.5
1,2021-01-01 00:39:16,2021-01-01 01:00:13,1,9.10,1,N,97,129,4,27.5,0.5,0.5,0,0,0.3,28.8,0
1,2021-01-01 00:26:12,2021-01-01 00:39:46,2,2.70,1,N,263,142,1,12,3,0.5,3.15,0,0.3,18.95,2.5
2,2021-01-01 00:15:52,2021-01-01 00:38:07,3,6.11,1,N,164,255,1,20.5,0.5,0.5,0,0,0.3,24.3,2.5
2,2021-01-01 00:46:36,2021-01-01 00:53:45,2,1.21,1,N,255,80,1,7,0.5,0.5,2.49,0,0.3,10.79,0
1,2021-01-01 00:10:46,2021-01-01 00:32:58,2,7.40,1,N,138,166,2,24.5,2.5,0.5,0,6.12,0.3,33.92,0
2,2021-01-01 00:31:06,2021-01-01 00:38:52,5,1.70,1,N,142,50,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2021-01-01 00:42:11,2021-01-01 00:44:24,5,.81,1,N,50,142,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-01-01 00:17:48,2021-01-01 00:21:55,1,1.01,1,N,236,237,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5
2,2021-01-01 00:33:38,2021-01-01 00:38:37,1,.73,1,N,142,239,1,5.5,0.5,0.5,2.79,0,0.3,12.09,2.5
2,2021-01-01 00:47:56,2021-01-01 00:52:53,1,1.17,1,N,238,166,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2021-01-01 00:04:21,2021-01-01 00:07:58,1,.78,1,N,239,238,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2021-01-01 00:18:36,2021-01-01 00:27:10,2,1.66,1,N,151,142,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2021-01-01 00:43:41,2021-01-01 00:48:17,3,.93,1,N,239,142,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2021-01-01 00:56:30,2021-01-01 01:02:03,2,1.16,1,N,238,142,1,6.5,0.5,0.5,1.54,0,0.3,11.84,2.5
1,2021-01-01 00:16:27,2021-01-01 00:25:36,0,2.20,1,N,249,137,3,9,3,0.5,0,0,0.3,12.8,2.5
1,2021-01-01 00:37:59,2021-01-01 01:01:37,0,3.60,1,N,107,163,1,17,3,0.5,10,0,0.3,30.8,2.5
1,2021-01-01 00:37:40,2021-01-01 01:04:46,2,19.10,1,N,132,3,2,52,0.5,0.5,0,6.12,0.3,59.42,0
1,2021-01-01 00:54:24,2021-01-01 01:16:33,1,5.40,1,N,48,226,2,20,3,0.5,0,0,0.3,23.8,2.5
2,2021-01-01 00:34:37,2021-01-01 00:47:22,4,3.15,1,N,238,162,1,12.5,0.5,0.5,2,0,0.3,18.3,2.5
2,2021-01-01 00:06:24,2021-01-01 00:23:40,1,4.65,1,N,4,43,1,17,0.5,0.5,2,0,0.3,22.8,2.5
2,2021-01-01 00:35:17,2021-01-01 00:57:17,1,4.07,1,N,48,41,1,18,0.5,0.5,4.36,0,0.3,26.16,2.5
1,2021-01-01 00:24:30,2021-01-01 00:46:32,1,14.30,1,N,132,226,2,39,0.5,0.5,0,0,0.3,40.3,0
2,2021-01-01 00:13:44,2021-01-01 00:28:16,1,3.96,1,N,229,151,1,14.5,0.5,0.5,4.58,0,0.3,22.88,2.5
2,2021-01-01 00:36:08,2021-01-01 00:38:29,1,.76,1,N,238,166,2,4.5,0.5,0.5,0,0,0.3,5.8,0
2,2021-01-01 00:43:03,2021-01-01 00:47:18,2,.64,1,N,151,238,1,5,0.5,0.5,2.2,0,0.3,11,2.5
1,2021-01-01 00:06:08,2021-01-01 00:18:08,4,3.00,1,N,138,82,2,12,0.5,0.5,0,0,0.3,13.3,0
2,2021-01-01 00:19:57,2021-01-01 00:43:03,3,10.74,1,N,264,231,1,32.5,0.5,0.5,4,0,0.3,40.3,2.5
2,2021-01-01 00:20:13,2021-01-01 00:32:11,1,2.62,1,N,263,142,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2021-01-01 00:55:13,2021-01-01 01:23:03,1,13.67,1,N,48,32,2,38,0.5,0.5,0,0,0.3,41.8,2.5
1,2021-01-01 00:25:09,2021-01-01 00:45:43,1,6.10,1,N,151,90,2,21,3,0.5,0,0,0.3,24.8,2.5
1,2021-01-01 00:03:13,2021-01-01 00:03:19,1,.00,1,N,169,169,3,0,0,0,0,0,0,0,0
1,2021-01-01 00:52:42,2021-01-01 01:04:49,1,.00,1,N,238,42,1,17.2,0,0.5,0,0,0.3,18,0
1,2021-01-01 00:08:51,2021-01-01 00:15:31,1,2.00,1,N,137,140,2,7.5,2.5,0.5,0,0,0.3,10.8,2.5
1,2021-01-01 00:30:32,2021-01-01 00:34:12,2,1.00,1,N,114,234,2,5.5,3,0.5,0,0,0.3,9.3,2.5
2,2021-01-01 00:03:48,2021-01-01 00:14:29,1,1.98,1,N,100,229,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2021-01-01 00:16:19,2021-01-01 00:21:49,1,1.27,1,N,229,170,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-01-01 00:47:17,2021-01-01 00:52:48,1,1.66,1,N,48,239,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2021-01-01 00:57:26,2021-01-01 01:01:27,1,.89,1,N,142,48,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2021-01-01 00:03:09,2021-01-01 00:15:45,1,4.85,1,N,137,256,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5
2,2021-01-01 00:54:20,2021-01-01 00:59:17,1,1.16,1,N,140,262,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
1,2021-01-01 00:37:06,2021-01-01 00:42:58,1,1.40,1,N,264,238,1,6.5,3,0.5,2,0,0.3,12.3,2.5
2,2021-01-01 00:28:07,2021-01-01 00:36:27,5,2.01,1,N,170,114,1,9,0.5,0.5,2,0,0.3,14.8,2.5
2,2021-01-01 00:54:10,2021-01-01 01:05:19,2,3.45,1,N,186,87,1,12,0.5,0.5,10.08,0,0.3,25.88,2.5
2,2021-01-01 00:50:48,2021-01-01 01:11:59,1,3.79,1,N,209,256,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
1,2021-01-01 00:22:52,2021-01-01 00:43:49,1,17.20,2,N,132,107,1,52,2.5,0.5,12.25,6.12,0.3,73.67,2.5
